"","Gene","Ensembl","Gene.description","Uniprot","Secretome.location"
"2245","QRFP","ENSG00000188710","Pyroglutamylated RFamide peptide","P83859","Secreted in other tissues"
"2246","OSTN","ENSG00000188729","Osteocrin","P61366","Secreted in other tissues"
"2247","VWC2","ENSG00000188730","Von Willebrand factor C domain containing 2","Q2TAL6","Secreted to extracellular matrix"
"2248","OPTC","ENSG00000188770","Opticin","Q9UBM4","Secreted in other tissues"
"2249","PRELP","ENSG00000188783","Proline and arginine rich end leucine rich repeat protein","P51888","Secreted to extracellular matrix"
"2250","PLA2G2E","ENSG00000188784","Phospholipase A2 group IIE","Q9NZK7","Secreted - unknown location"
"2251","NHLRC3","ENSG00000188811","NHL repeat containing 3","Q5JS37","Secreted to blood"
"2252","ASTL","ENSG00000188886","Astacin like metalloendopeptidase","Q6HA08","Intracellular and membrane"
"2253","NYX","ENSG00000188937","Nyctalopin","Q9GZU5","Intracellular and membrane"
"2254","UTS2B","ENSG00000188958","Urotensin 2B","Q765I0","Secreted - unknown location"
"2255","LIPI","ENSG00000188992","Lipase I","Q6XZB0","Secreted in male reproductive system"
"2256","SBSN","ENSG00000189001","Suprabasin","Q6UWP8","Secreted - unknown location"
"2257","KIR2DL4","ENSG00000189013","Killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4","Q99706","Intracellular and membrane"
"2258","CGB5","ENSG00000189052","Chorionic gonadotropin subunit beta 5","P0DN86","Secreted to blood"
"2259","RELN","ENSG00000189056","Reelin","P78509","Secreted in brain"
"2260","APOD","ENSG00000189058","Apolipoprotein D","P05090","Secreted to blood"
"2261","VSTM1","ENSG00000189068","V-set and transmembrane domain containing 1","Q6UX27","Secreted to blood"
"2262","PRSS48","ENSG00000189099","Serine protease 48","Q7RTY5","Secreted - unknown location"
"2263","PLAC9","ENSG00000189129","Placenta associated 9","Q5JTB6","Secreted - unknown location"
"2264","S100A13","ENSG00000189171","S100 calcium binding protein A13","Q99584","Secreted in other tissues"
"2265","C15orf61","ENSG00000189227","Chromosome 15 open reading frame 61","A6NNL5","Secreted - unknown location"
"2266","ALKAL2","ENSG00000189292","ALK and LTK ligand 2","Q6UX46","Secreted to blood"
"2267","FAM180A","ENSG00000189320","Family with sequence similarity 180 member A","Q6UWF9","Secreted - unknown location"
"2268","CXCL17","ENSG00000189377","C-X-C motif chemokine ligand 17","Q6UXB2","Secreted to blood"
"2269","HMGB1","ENSG00000189403","High mobility group box 1","P09429","Secreted to blood"
"2270","IL1RAP","ENSG00000196083","Interleukin 1 receptor accessory protein","Q9NPH3","Secreted to blood"
"2271","SPOCK3","ENSG00000196104","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3","Q9BQ16","Secreted to extracellular matrix"
"2272","SERPINA3","ENSG00000196136","Serpin family A member 3","P01011","Secreted to blood"
"2273","S100A4","ENSG00000196154","S100 calcium binding protein A4","P26447","Secreted to blood"
"2274","CTSE","ENSG00000196188","Cathepsin E","P14091","Intracellular and membrane"
"2275","SFTA2","ENSG00000196260","Surfactant associated 2","Q6UW10","Secreted in other tissues"
"2276","PPIA","ENSG00000196262","Peptidylprolyl isomerase A","P62937","Secreted to blood"
"2277","CGB7","ENSG00000196337","Chorionic gonadotropin subunit beta 7","P0DN87","Secreted in other tissues"
"2278","NLGN3","ENSG00000196338","Neuroligin 3","Q9NZ94","Intracellular and membrane"
"2279","CD55","ENSG00000196352","CD55 molecule (Cromer blood group)","P08174","Secreted to blood"
"2280","NTNG2","ENSG00000196358","Netrin G2","Q96CW9","Intracellular and membrane"
"2281","ZNF34","ENSG00000196378","Zinc finger protein 34","Q8IZ26","Intracellular and membrane"
"2282","PRTN3","ENSG00000196415","Proteinase 3","P24158","Secreted to blood"
"2283","NPIPB15","ENSG00000196436","Nuclear pore complex interacting protein family member B15","A6NHN6","Intracellular and membrane"
"2284","FGF16","ENSG00000196468","Fibroblast growth factor 16","O43320","Secreted in other tissues"
"2285","SULF2","ENSG00000196562","Sulfatase 2","Q8IWU5","Intracellular and membrane"
"2286","LAMA2","ENSG00000196569","Laminin subunit alpha 2","P24043","Secreted to extracellular matrix"
"2287","MMP1","ENSG00000196611","Matrix metallopeptidase 1","P03956","Secreted to extracellular matrix"
"2288","FAM180B","ENSG00000196666","Family with sequence similarity 180 member B","Q6P0A1","Secreted in other tissues"
"2289","ALKAL1","ENSG00000196711","ALK and LTK ligand 1","Q6UXT8","Secreted to blood"
"2290","COL27A1","ENSG00000196739","Collagen type XXVII alpha 1 chain","Q8IZC6","Secreted to extracellular matrix"
"2291","GM2A","ENSG00000196743","Ganglioside GM2 activator","P17900","Intracellular and membrane"
"2292","CLPSL2","ENSG00000196748","Colipase like 2","Q6UWE3","Secreted in male reproductive system"
"2293","SPINK14","ENSG00000196800","Serine peptidase inhibitor Kazal type 14 (putative)","Q6IE38","Secreted - unknown location"
"2294","PATE2","ENSG00000196844","Prostate and testis expressed 2","Q6UY27","Secreted in male reproductive system"
"2295","LAMB3","ENSG00000196878","Laminin subunit beta 3","Q13751","Secreted to extracellular matrix"
"2296","FAM3C","ENSG00000196937","FAM3 metabolism regulating signaling molecule C","Q92520","Secreted in other tissues"
"2297","CASP4","ENSG00000196954","Caspase 4","P49662","Intracellular and membrane"
"2298","FUT11","ENSG00000196968","Fucosyltransferase 11","Q495W5","Intracellular and membrane"
"2299","METTL9","ENSG00000197006","Methyltransferase like 9","Q9H1A3","Intracellular and membrane"
"2300","IFNL3","ENSG00000197110","Interferon lambda 3","Q8IZI9","Secreted to blood"
"2301","SERPINA1","ENSG00000197249","Serpin family A member 1","P01009","Secreted to blood"
"2302","TPSB2","ENSG00000197253","Tryptase beta 2","P20231","Secreted to blood"
"2303","IL27","ENSG00000197272","Interleukin 27","Q8NEV9","Secreted to blood"
"2304","GUCA2A","ENSG00000197273","Guanylate cyclase activator 2A","Q02747","Secreted to blood"
"2305","MRPL21","ENSG00000197345","Mitochondrial ribosomal protein L21","Q7Z2W9","Intracellular and membrane"
"2306","LYPD2","ENSG00000197353","LY6/PLAUR domain containing 2","Q6UXB3","Intracellular and membrane"
"2307","CYP2B6","ENSG00000197408","Cytochrome P450 family 2 subfamily B member 6","P20813","Intracellular and membrane"
"2308","CYP2F1","ENSG00000197446","Cytochrome P450 family 2 subfamily F member 1","P24903","Intracellular and membrane"
"2309","PDGFA","ENSG00000197461","Platelet derived growth factor subunit A","P04085","Secreted to blood"
"2310","GALP","ENSG00000197487","Galanin like peptide","Q9UBC7","Secreted in brain"
"2311","GZMM","ENSG00000197540","Granzyme M","P51124","Secreted to blood"
"2312","ELANE","ENSG00000197561","Elastase, neutrophil expressed","P08246","Secreted to blood"
"2313","COL4A6","ENSG00000197565","Collagen type IV alpha 6 chain","Q14031","Secreted to extracellular matrix"
"2314","ENTPD6","ENSG00000197586","Ectonucleoside triphosphate diphosphohydrolase 6","O75354","Secreted to blood"
"2315","ENPP1","ENSG00000197594","Ectonucleotide pyrophosphatase/phosphodiesterase 1","P22413","Secreted - unknown location"
"2316","MFAP5","ENSG00000197614","Microfibril associated protein 5","Q13361","Secreted to extracellular matrix"
"2317","MPEG1","ENSG00000197629","Macrophage expressed 1","Q2M385","Secreted to blood"
"2318","SERPINB2","ENSG00000197632","Serpin family B member 2","P05120","Intracellular and membrane"
"2319","DPP4","ENSG00000197635","Dipeptidyl peptidase 4","P27487","Secreted to blood"
"2320","PDCD1LG2","ENSG00000197646","Programmed cell death 1 ligand 2","Q9BQ51","Secreted - unknown location"
"2321","ZNF433","ENSG00000197647","Zinc finger protein 433","Q8N7K0","Intracellular and membrane"
"2322","NMB","ENSG00000197696","Neuromedin B","P08949","Secreted to blood"
"2323","CR1L","ENSG00000197721","Complement C3b/C4b receptor 1 like","Q2VPA4","Secreted in other tissues"
"2324","SCGB1D4","ENSG00000197745","Secretoglobin family 1D member 4","Q6XE38","Secreted in other tissues"
"2325","PSAP","ENSG00000197746","Prosaposin","P07602","Intracellular and membrane"
"2326","CFD","ENSG00000197766","Complement factor D","P00746","Secreted to blood"
"2327","OCLN","ENSG00000197822","Occludin","Q16625","Intracellular and membrane"
"2328","CYP2A13","ENSG00000197838","Cytochrome P450 family 2 subfamily A member 13","Q16696","Intracellular and membrane"
"2329","ADAMTSL2","ENSG00000197859","ADAMTS like 2","Q86TH1","Secreted in other tissues"
"2330","PRB3","ENSG00000197870","Proline rich protein BstNI subfamily 3","Q04118","Secreted to digestive system"
"2331","IFNA1","ENSG00000197919","Interferon alpha 1","P01562","Secreted to blood"
"2332","ERO1A","ENSG00000197930","Endoplasmic reticulum oxidoreductase 1 alpha","Q96HE7","Intracellular and membrane"
"2333","AADACL2","ENSG00000197953","Arylacetamide deacetylase like 2","Q6P093","Secreted in other tissues"
"2334","AKR1B10","ENSG00000198074","Aldo-keto reductase family 1 member B10","O60218","Secreted to digestive system"
"2335","CYP2A7","ENSG00000198077","Cytochrome P450 family 2 subfamily A member 7","P20853","Intracellular and membrane"
"2336","CHSY3","ENSG00000198108","Chondroitin sulfate synthase 3","Q70JA7","Intracellular and membrane"
"2337","DEFB107B","ENSG00000198129","Defensin beta 107B","Q8IZN7","Secreted in male reproductive system"
"2338","MIER1","ENSG00000198160","MIER1 transcriptional regulator","Q8N108","Intracellular and membrane"
"2339","BPIFA1","ENSG00000198183","BPI fold containing family A member 1","Q9NP55","Secreted in other tissues"
"2340","HSD17B11","ENSG00000198189","Hydroxysteroid 17-beta dehydrogenase 11","Q8NBQ5","Intracellular and membrane"
"2341","CSF2RA","ENSG00000198223","Colony stimulating factor 2 receptor subunit alpha","P15509","Secreted to blood"
"2342","B3GNT6","ENSG00000198488","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6","Q6ZMB0","Intracellular and membrane"
"2343","ITGBL1","ENSG00000198542","Integrin subunit beta like 1","O95965","Secreted - unknown location"
"2344","ZNF511","ENSG00000198546","Zinc finger protein 511","Q8NB15","Intracellular and membrane"
"2345","MMP17","ENSG00000198598","Matrix metallopeptidase 17","Q9ULZ9","Secreted to extracellular matrix"
"2346","FAM3D","ENSG00000198643","FAM3 metabolism regulating signaling molecule D","Q96BQ1","Secreted to digestive system"
"2347","LPA","ENSG00000198670","Lipoprotein(a)","P08519","Secreted to blood"
"2348","TAFA2","ENSG00000198673","TAFA chemokine like family member 2","Q8N3H0","Intracellular and membrane"
"2349","IPO9","ENSG00000198700","Importin 9","Q96P70","Intracellular and membrane"
"2350","GPX6","ENSG00000198704","Glutathione peroxidase 6","P59796","Secreted in male reproductive system"
"2351","TOGARAM1","ENSG00000198718","TOG array regulator of axonemal microtubules 1","Q9Y4F4","Intracellular and membrane"
"2352","SMOC1","ENSG00000198732","SPARC related modular calcium binding 1","Q9H4F8","Secreted to extracellular matrix"
"2353","F5","ENSG00000198734","Coagulation factor V","P12259","Secreted to blood"
"2354","COLGALT2","ENSG00000198756","Collagen beta(1-O)galactosyltransferase 2","Q8IYK4","Intracellular and membrane"
"2355","EGFL6","ENSG00000198759","EGF like domain multiple 6","Q8IUX8","Secreted to extracellular matrix"
"2356","MUC2","ENSG00000198788","Mucin 2, oligomeric mucus/gel-forming","","Intracellular and membrane"
"2357","BRINP2","ENSG00000198797","BMP/retinoic acid inducible neural specific 2","Q9C0B6","Secreted in other tissues"
"2358","GRM3","ENSG00000198822","Glutamate metabotropic receptor 3","Q14832","Intracellular and membrane"
"2359","SELENOM","ENSG00000198832","Selenoprotein M","Q8WWX9","Intracellular and membrane"
"2360","CES1","ENSG00000198848","Carboxylesterase 1","P23141","Intracellular and membrane"
"2361","FICD","ENSG00000198855","FIC domain protein adenylyltransferase","Q9BVA6","Intracellular and membrane"
"2362","MFAP3L","ENSG00000198948","Microfibril associated protein 3 like","O75121","Intracellular and membrane"
"2363","NAGA","ENSG00000198951","Alpha-N-acetylgalactosaminidase","P17050","Intracellular and membrane"
"2364","TGM2","ENSG00000198959","Transglutaminase 2","P21980","Secreted to extracellular matrix"
"2365","RAET1G","ENSG00000203722","Retinoic acid early transcript 1G","Q6H3X3","Secreted - unknown location"
"2366","FCGR3A","ENSG00000203747","Fc gamma receptor IIIa","P08637","Secreted to blood"
"2367","SPRN","ENSG00000203772","Shadow of prion protein","Q5BIV9","Intracellular and membrane"
"2368","FAM24A","ENSG00000203795","Family with sequence similarity 24 member A","A6NFZ4","Secreted in male reproductive system"
"2369","PNLIPRP3","ENSG00000203837","Pancreatic lipase related protein 3","Q17RR3","Secreted - unknown location"
"2370","LIME1","ENSG00000203896","Lck interacting transmembrane adaptor 1","Q9H400","Intracellular and membrane"
"2371","DEFB110","ENSG00000203970","Defensin beta 110","Q30KQ9","Secreted in male reproductive system"
"2372","LCN8","ENSG00000204001","Lipocalin 8","Q6JVE9","Secreted in male reproductive system"
"2373","GLT6D1","ENSG00000204007","Glycosyltransferase 6 domain containing 1","Q7Z4J2","Intracellular and membrane"
"2374","LIPN","ENSG00000204020","Lipase family member N","Q5VXI9","Secreted in other tissues"
"2375","LIPK","ENSG00000204021","Lipase family member K","Q5VXJ0","Secreted in other tissues"
"2376","CLPSL1","ENSG00000204140","Colipase like 1","A2RUU4","Secreted in male reproductive system"
"2377","COL11A2","ENSG00000204248","Collagen type XI alpha 2 chain","P13942","Secreted to extracellular matrix"
"2378","COL5A2","ENSG00000204262","Collagen type V alpha 2 chain","P05997","Secreted to extracellular matrix"
"2379","COL15A1","ENSG00000204291","Collagen type XV alpha 1 chain","P39059","Secreted to extracellular matrix"
"2380","AGER","ENSG00000204305","Advanced glycosylation end-product specific receptor","Q15109","Secreted in other tissues"
"2381","BTBD17","ENSG00000204347","BTB domain containing 17","A6NE02","Secreted in brain"
"2382","SDHD","ENSG00000204370","Succinate dehydrogenase complex subunit D","O14521","Intracellular and membrane"
"2383","EHMT2","ENSG00000204371","Euchromatic histone lysine methyltransferase 2","Q96KQ7","Intracellular and membrane"
"2384","HSPA1A","ENSG00000204389","Heat shock protein family A (Hsp70) member 1A","P0DMV8","Intracellular and membrane"
"2385","VWA7","ENSG00000204396","Von Willebrand factor A domain containing 7","Q9Y334","Secreted - unknown location"
"2386","CSHL1","ENSG00000204414","Chorionic somatomammotropin hormone like 1","Q14406","Secreted to blood"
"2387","MPIG6B","ENSG00000204420","Megakaryocyte and platelet inhibitory receptor G6b","O95866","Intracellular and membrane"
"2388","LY6G5C","ENSG00000204428","Lymphocyte antigen 6 family member G5C","Q5SRR4","Secreted - unknown location"
"2389","APOM","ENSG00000204444","Apolipoprotein M","O95445","Secreted to blood"
"2390","BAG6","ENSG00000204463","BAG cochaperone 6","P46379","Intracellular and membrane"
"2391","MCCD1","ENSG00000204511","Mitochondrial coiled-coil domain 1","P59942","Intracellular and membrane"
"2392","HLA-C","ENSG00000204525","Major histocompatibility complex, class I, C","P10321","Intracellular and membrane"
"2393","PSORS1C2","ENSG00000204538","Psoriasis susceptibility 1 candidate 2","Q9UIG4","Secreted in other tissues"
"2394","CDSN","ENSG00000204539","Corneodesmosin","","Secreted in other tissues"
"2395","C6orf15","ENSG00000204542","Chromosome 6 open reading frame 15","Q6UXA7","Secreted to extracellular matrix"
"2396","DEFB121","ENSG00000204548","Defensin beta 121","Q5J5C9","Secreted in male reproductive system"
"2397","DDR1","ENSG00000204580","Discoidin domain receptor tyrosine kinase 1","Q08345","Intracellular and membrane"
"2398","LRCOL1","ENSG00000204583","Leucine rich colipase like 1","A6NCL2","Secreted in male reproductive system"
"2399","HLA-E","ENSG00000204592","Major histocompatibility complex, class I, E","P13747","Secreted to blood"
"2400","HLA-G","ENSG00000204632","Major histocompatibility complex, class I, G","P17693","Secreted to blood"
"2401","NMS","ENSG00000204640","Neuromedin S","Q5H8A3","Secreted in brain"
"2402","IL31","ENSG00000204671","Interleukin 31","Q6EBC2","Secreted to blood"
"2403","GABBR1","ENSG00000204681","Gamma-aminobutyric acid type B receptor subunit 1","Q9UBS5","Intracellular and membrane"
"2404","TCTN1","ENSG00000204852","Tectonic family member 1","Q2MV58","Intracellular and membrane"
"2405","IGFL2","ENSG00000204866","IGF like family member 2","Q6UWQ7","Secreted in other tissues"
"2406","IGFL4","ENSG00000204869","IGF like family member 4","Q6B9Z1","Secreted - unknown location"
"2407","SPINK9","ENSG00000204909","Serine peptidase inhibitor Kazal type 9","Q5DT21","Secreted in other tissues"
"2408","CD177","ENSG00000204936","CD177 molecule","","Intracellular and membrane"
"2409","PSG5","ENSG00000204941","Pregnancy specific beta-1-glycoprotein 5","Q15238","Secreted in female reproductive system"
"2410","C12orf73","ENSG00000204954","Chromosome 12 open reading frame 73","Q69YU5","Intracellular and membrane"
"2411","PCDHA1","ENSG00000204970","Protocadherin alpha 1","Q9Y5I3","Secreted - unknown location"
"2412","PRSS1","ENSG00000204983","Serine protease 1","P07477","Secreted to digestive system"
"2413","LGALS7","ENSG00000205076","Galectin 7","P47929","Intracellular and membrane"
"2414","SCGB2B2","ENSG00000205209","Secretoglobin family 2B member 2","Q4G0G5","Secreted in other tissues"
"2415","VIT","ENSG00000205221","Vitrin","Q6UXI7","Secreted to extracellular matrix"
"2416","ADGRG1","ENSG00000205336","Adhesion G protein-coupled receptor G1","Q9Y653","Secreted to blood"
"2417","CFI","ENSG00000205403","Complement factor I","P05156","Secreted to blood"
"2418","MUC19","ENSG00000205592","Mucin 19, oligomeric","","Intracellular and membrane"
"2419","HTN3","ENSG00000205649","Histatin 3","P15516","Secreted to digestive system"
"2420","CRLF2","ENSG00000205755","Cytokine receptor like factor 2","Q9HC73","Intracellular and membrane"
"2421","C1QTNF9B","ENSG00000205863","C1q and TNF related 9B","B2RNN3","Secreted - unknown location"
"2422","DEFB134","ENSG00000205882","Defensin beta 134","Q4QY38","Secreted in male reproductive system"
"2423","DEFB135","ENSG00000205883","Defensin beta 135","Q30KP9","Secreted in male reproductive system"
"2424","DEFB136","ENSG00000205884","Defensin beta 136","Q30KP8","Secreted in male reproductive system"
"2425","C21orf62","ENSG00000205929","Chromosome 21 open reading frame 62","Q9NYP8","Secreted - unknown location"
"2426","DEFB109B","ENSG00000206034","Defensin beta 109B","Q30KR1","Secreted in male reproductive system"
"2427","DEFA1","ENSG00000206047","Defensin alpha 1","P59665","Secreted to blood"
"2428","SERPINB5","ENSG00000206075","Serpin family B member 5","P36952","Intracellular and membrane"
"2429","RNASE13","ENSG00000206150","Ribonuclease A family member 13 (inactive)","Q5GAN3","Secreted in male reproductive system"
"2430","COL6A6","ENSG00000206384","Collagen type VI alpha 6 chain","A6NMZ7","Secreted to extracellular matrix"
"2431","COLQ","ENSG00000206561","Collagen like tail subunit of asymmetric acetylcholinesterase","Q9Y215","Secreted to blood"
"2432","GPX3","ENSG00000211445","Glutathione peroxidase 3","P22352","Secreted to blood"
"2433","IGKC","ENSG00000211592","Immunoglobulin kappa constant","","Immunoglobulin genes"
"2434","IGKJ1","ENSG00000211597","Immunoglobulin kappa joining 1","A0A0A0MT89","Immunoglobulin genes"
"2435","IGKV4-1","ENSG00000211598","Immunoglobulin kappa variable 4-1","P06312","Immunoglobulin genes"
"2436","IGKV5-2","ENSG00000211599","Immunoglobulin kappa variable 5-2","P06315","Immunoglobulin genes"
"2437","IGKV6-21","ENSG00000211611","Immunoglobulin kappa variable 6-21 (non-functional)","A0A0C4DH24","Immunoglobulin genes"
"2438","IGKV2D-26","ENSG00000211623","Immunoglobulin kappa variable 2D-26","A0A0A0MRZ7","Immunoglobulin genes"
"2439","IGKV3D-20","ENSG00000211625","Immunoglobulin kappa variable 3D-20","A0A0C4DH25","Immunoglobulin genes"
"2440","IGKV6D-41","ENSG00000211626","Immunoglobulin kappa variable 6D-41 (non-functional)","A0A0C4DH26","Immunoglobulin genes"
"2441","IGKV3D-11","ENSG00000211632","Immunoglobulin kappa variable 3D-11","A0A0A0MRZ8","Immunoglobulin genes"
"2442","IGKV1D-42","ENSG00000211633","Immunoglobulin kappa variable 1D-42 (non-functional)","A0A075B6H8","Immunoglobulin genes"
"2443","IGLV4-69","ENSG00000211637","Immunoglobulin lambda variable 4-69","A0A075B6H9","Immunoglobulin genes"
"2444","IGLV8-61","ENSG00000211638","Immunoglobulin lambda variable 8-61","A0A075B6I0","Immunoglobulin genes"
"2445","IGLV4-60","ENSG00000211639","Immunoglobulin lambda variable 4-60","A0A075B6I1","Immunoglobulin genes"
"2446","IGLV6-57","ENSG00000211640","Immunoglobulin lambda variable 6-57","P01721","Immunoglobulin genes"
"2447","IGLV11-55","ENSG00000211641","Immunoglobulin lambda variable 11-55 (non-functional)","A0A075B6I3","Immunoglobulin genes"
"2448","IGLV10-54","ENSG00000211642","Immunoglobulin lambda variable 10-54","A0A075B6I4","Immunoglobulin genes"
"2449","IGLV5-52","ENSG00000211643","Immunoglobulin lambda variable 5-52","A0A0A0MRZ9","Immunoglobulin genes"
"2450","IGLV1-51","ENSG00000211644","Immunoglobulin lambda variable 1-51","P01701","Immunoglobulin genes"
"2451","IGLV1-50","ENSG00000211645","Immunoglobulin lambda variable 1-50 (non-functional)","A0A075B6I6","Immunoglobulin genes"
"2452","IGLV5-48","ENSG00000211647","Immunoglobulin lambda variable 5-48 (non-functional)","A0A075B6I7","Immunoglobulin genes"
"2453","IGLV1-47","ENSG00000211648","Immunoglobulin lambda variable 1-47","P01700","Immunoglobulin genes"
"2454","IGLV7-46","ENSG00000211649","Immunoglobulin lambda variable 7-46","A0A075B6I9","Immunoglobulin genes"
"2455","IGLV5-45","ENSG00000211650","Immunoglobulin lambda variable 5-45","A0A087WSX0","Immunoglobulin genes"
"2456","IGLV1-44","ENSG00000211651","Immunoglobulin lambda variable 1-44","P01699","Immunoglobulin genes"
"2457","IGLV7-43","ENSG00000211652","Immunoglobulin lambda variable 7-43","P04211","Immunoglobulin genes"
"2458","IGLV1-40","ENSG00000211653","Immunoglobulin lambda variable 1-40","P01703","Immunoglobulin genes"
"2459","IGLV5-37","ENSG00000211654","Immunoglobulin lambda variable 5-37","A0A075B6J1","Immunoglobulin genes"
"2460","IGLV1-36","ENSG00000211655","Immunoglobulin lambda variable 1-36","A0A0B4J1U3","Immunoglobulin genes"
"2461","IGLV2-33","ENSG00000211656","Immunoglobulin lambda variable 2-33 (non-functional)","A0A075B6J2","Immunoglobulin genes"
"2462","IGLV3-32","ENSG00000211657","Immunoglobulin lambda variable 3-32 (non-functional)","A0A0A0MS00","Immunoglobulin genes"
"2463","IGLV3-27","ENSG00000211658","Immunoglobulin lambda variable 3-27","P01718","Immunoglobulin genes"
"2464","IGLV3-25","ENSG00000211659","Immunoglobulin lambda variable 3-25","P01717","Immunoglobulin genes"
"2465","IGLV2-23","ENSG00000211660","Immunoglobulin lambda variable 2-23","P01705","Immunoglobulin genes"
"2466","IGLV3-22","ENSG00000211661","Immunoglobulin lambda variable 3-22","A0A075B6J6","Immunoglobulin genes"
"2467","IGLV3-21","ENSG00000211662","Immunoglobulin lambda variable 3-21","P80748","Immunoglobulin genes"
"2468","IGLV3-19","ENSG00000211663","Immunoglobulin lambda variable 3-19","P01714","Immunoglobulin genes"
"2469","IGLV2-18","ENSG00000211664","Immunoglobulin lambda variable 2-18","A0A075B6J9","Immunoglobulin genes"
"2470","IGLV3-16","ENSG00000211665","Immunoglobulin lambda variable 3-16","A0A075B6K0","Immunoglobulin genes"
"2471","IGLV2-14","ENSG00000211666","Immunoglobulin lambda variable 2-14","P01704","Immunoglobulin genes"
"2472","IGLV3-12","ENSG00000211667","Immunoglobulin lambda variable 3-12","A0A075B6K2","Immunoglobulin genes"
"2473","IGLV2-11","ENSG00000211668","Immunoglobulin lambda variable 2-11","P01706","Immunoglobulin genes"
"2474","IGLV3-10","ENSG00000211669","Immunoglobulin lambda variable 3-10","A0A075B6K4","Immunoglobulin genes"
"2475","IGLV3-9","ENSG00000211670","Immunoglobulin lambda variable 3-9","A0A075B6K5","Immunoglobulin genes"
"2476","IGLV4-3","ENSG00000211672","Immunoglobulin lambda variable 4-3","A0A075B6K6","Immunoglobulin genes"
"2477","IGLV3-1","ENSG00000211673","Immunoglobulin lambda variable 3-1","P01715","Immunoglobulin genes"
"2478","IGLJ1","ENSG00000211674","Immunoglobulin lambda joining 1","A0A0A0MT76","Immunoglobulin genes"
"2479","IGLC1","ENSG00000211675","Immunoglobulin lambda constant 1","","Immunoglobulin genes"
"2480","IGLC2","ENSG00000211677","Immunoglobulin lambda constant 2","P0DOY2","Immunoglobulin genes"
"2481","IGLC3","ENSG00000211679","Immunoglobulin lambda constant 3 (Kern-Oz+ marker)","P0DOY3","Immunoglobulin genes"
"2482","IGLC7","ENSG00000211685","Immunoglobulin lambda constant 7","","Immunoglobulin genes"
"2483","IGHA2","ENSG00000211890","Immunoglobulin heavy constant alpha 2 (A2m marker)","P01877","Immunoglobulin genes"
"2484","IGHE","ENSG00000211891","Immunoglobulin heavy constant epsilon","P01854","Immunoglobulin genes"
"2485","IGHG4","ENSG00000211892","Immunoglobulin heavy constant gamma 4 (G4m marker)","P01861","Immunoglobulin genes"
"2486","IGHG2","ENSG00000211893","Immunoglobulin heavy constant gamma 2 (G2m marker)","P01859","Immunoglobulin genes"
"2487","IGHA1","ENSG00000211895","Immunoglobulin heavy constant alpha 1","P01876","Immunoglobulin genes"
"2488","IGHG1","ENSG00000211896","Immunoglobulin heavy constant gamma 1 (G1m marker)","P01857","Immunoglobulin genes"
"2489","IGHG3","ENSG00000211897","Immunoglobulin heavy constant gamma 3 (G3m marker)","","Immunoglobulin genes"
"2490","IGHM","ENSG00000211899","Immunoglobulin heavy constant mu","P01871","Immunoglobulin genes"
"2491","IGHJ1","ENSG00000211905","Immunoglobulin heavy joining 1","A0A0C4DH62","Immunoglobulin genes"
"2492","IGHV6-1","ENSG00000211933","Immunoglobulin heavy variable 6-1","A0A0B4J1U7","Immunoglobulin genes"
"2493","IGHV1-2","ENSG00000211934","Immunoglobulin heavy variable 1-2","P23083","Immunoglobulin genes"
"2494","IGHV1-3","ENSG00000211935","Immunoglobulin heavy variable 1-3","A0A0C4DH29","Immunoglobulin genes"
"2495","IGHV2-5","ENSG00000211937","Immunoglobulin heavy variable 2-5","P01817","Immunoglobulin genes"
"2496","IGHV3-7","ENSG00000211938","Immunoglobulin heavy variable 3-7","P01780","Immunoglobulin genes"
"2497","IGHV3-11","ENSG00000211941","Immunoglobulin heavy variable 3-11","P01762","Immunoglobulin genes"
"2498","IGHV3-13","ENSG00000211942","Immunoglobulin heavy variable 3-13","P01766","Immunoglobulin genes"
"2499","IGHV3-15","ENSG00000211943","Immunoglobulin heavy variable 3-15","A0A0B4J1V0","Immunoglobulin genes"
"2500","IGHV3-16","ENSG00000211944","Immunoglobulin heavy variable 3-16 (non-functional)","A0A0C4DH30","Immunoglobulin genes"
"2501","IGHV1-18","ENSG00000211945","Immunoglobulin heavy variable 1-18","A0A0C4DH31","Immunoglobulin genes"
"2502","IGHV3-20","ENSG00000211946","Immunoglobulin heavy variable 3-20","A0A0C4DH32","Immunoglobulin genes"
"2503","IGHV3-21","ENSG00000211947","Immunoglobulin heavy variable 3-21","A0A0B4J1V1","Immunoglobulin genes"
"2504","IGHV3-23","ENSG00000211949","Immunoglobulin heavy variable 3-23","P01764","Immunoglobulin genes"
"2505","IGHV1-24","ENSG00000211950","Immunoglobulin heavy variable 1-24","A0A0C4DH33","Immunoglobulin genes"
"2506","IGHV2-26","ENSG00000211951","Immunoglobulin heavy variable 2-26","A0A0B4J1V2","Immunoglobulin genes"
"2507","IGHV4-28","ENSG00000211952","Immunoglobulin heavy variable 4-28","A0A0C4DH34","Immunoglobulin genes"
"2508","IGHV3-33","ENSG00000211955","Immunoglobulin heavy variable 3-33","P01772","Immunoglobulin genes"
"2509","IGHV4-34","ENSG00000211956","Immunoglobulin heavy variable 4-34","P06331","Immunoglobulin genes"
